title,identifier,url,date,pages,thumb_url,views,color,per_text,pen_color
"Marion Stokes Journal (February 21, 1969)",marionstokesjournal1969-02-21,http://archive.org/details/marionstokesjournal1969-02-21,date:[1969-02-21],0,https://archive.org/download/marionstokesjournal1969-02-21/__ia_thumb.jpg,3,[223 197 153],14.7,undetermined
"Marion Stokes Journal (March 1, 1969)",marionstokesjournal1969-03-01,http://archive.org/details/marionstokesjournal1969-03-01,date:[1969-03-01],0,https://archive.org/download/marionstokesjournal1969-03-01/__ia_thumb.jpg,2,[239 238 233],18.4,undetermined
"Marion Stokes Journal (March 2, 1969)",marionstokesjournal1969-03-02,http://archive.org/details/marionstokesjournal1969-03-02,date:[1969-03-02],0,https://archive.org/download/marionstokesjournal1969-03-02/__ia_thumb.jpg,2,[240 238 231],5.9,undetermined
"Marion Stokes Journal (March 16, 1969)",marionstokesjournal1969-03-16,http://archive.org/details/marionstokesjournal1969-03-16,date:[1969-03-16],0,https://archive.org/download/marionstokesjournal1969-03-16/__ia_thumb.jpg,2,[217 192 148],14.9,undetermined
"Marion Stokes Journal (March 30, 1969)",marionstokesjournal1969-03-30,http://archive.org/details/marionstokesjournal1969-03-30,date:[1969-03-30],0,https://archive.org/download/marionstokesjournal1969-03-30/__ia_thumb.jpg,3,[239 230 210],16.5,undetermined
"Marion Stokes Journal (April 5 and 6, 1969)",marionstokesjournal1969-04-05,http://archive.org/details/marionstokesjournal1969-04-05,date:[1969-04-05 AND 1969-04-06],0,https://archive.org/download/marionstokesjournal1969-04-05/__ia_thumb.jpg,4,[219 195 151],12.5,undetermined
"Marion Stokes Journal (April 7, 1969)",marionstokesjournal1969-04-07,http://archive.org/details/marionstokesjournal1969-04-07,date:[1969-04-07],0,https://archive.org/download/marionstokesjournal1969-04-07/__ia_thumb.jpg,3,[221 194 150],15.3,undetermined
"Marion Stokes Journal (April 17, 1969)",marionstokesjournal1969-04-17,http://archive.org/details/marionstokesjournal1969-04-17,date:[1969-04-17],0,https://archive.org/download/marionstokesjournal1969-04-17/__ia_thumb.jpg,5,[235 230 219],9.9,undetermined
"Marion Stokes Journal (April 19, 1969)",marionstokesjournal1969-04-19,http://archive.org/details/marionstokesjournal1969-04-19,date:[1969-04-19],0,https://archive.org/download/marionstokesjournal1969-04-19/__ia_thumb.jpg,3,[228 211 165],6.6,undetermined
"Marion Stokes Journal (April 20, 1969)",marionstokesjournal1969-04-20,http://archive.org/details/marionstokesjournal1969-04-20,date:[1969-04-20],0,https://archive.org/download/marionstokesjournal1969-04-20/__ia_thumb.jpg,5,[226 210 164],8.6,undetermined
"Marion Stokes Journal (April 26, 1969)",marionstokesjournal1969-04-26,http://archive.org/details/marionstokesjournal1969-04-26,date:[1969-04-26],0,https://archive.org/download/marionstokesjournal1969-04-26/__ia_thumb.jpg,5,[238 234 218],23.2,undetermined
"Marion Stokes Journal (April 28, 1969)",marionstokesjournal1969-04-28,http://archive.org/details/marionstokesjournal1969-04-28,date:[1969-04-28],0,https://archive.org/download/marionstokesjournal1969-04-28/__ia_thumb.jpg,3,[241 239 229],8.6,undetermined
"Marion Stokes Journal (May 30, 1969)",marionstokesjournal1969-05-30,http://archive.org/details/marionstokesjournal1969-05-30,date:[1969-05-30],0,https://archive.org/download/marionstokesjournal1969-05-30/__ia_thumb.jpg,6,[243 241 231],8.9,undetermined
